BookName,BookAuthor,BookOriginalPrice,BookDiscountPrice
"হিমেল বাবু","সুনাম চৌধুরী কাশেম","TK. 210","TK. 147"
"আজ আমার মায়ের ফাঁসি","সুনাম চৌধুরী কাশেম","TK. 180","TK. 126"
"International Businiess Directory 2019-20","ওয়াসিকা নুযহাত","TK. 700","TK. 490"
"মাদকের শেকড় থেকে শিখরে","মুহাম্মদ সেলিম","TK. 400","TK. 340"
"প্রাচ্য ও পাশ্চাত্য দর্শনের ইতিহাস প্রথম খণ্ডের : ১ম ও ২য় ভাগ","হুমায়ুন কবির","TK. 1,100","TK. 935"
"নির্বাচিত ছোটগল্প","নারায়ণ গঙ্গোপাধ্যায়","TK. 240","TK. 204"
"আনন্দমঠ","বঙ্কিমচন্দ্র চট্টোপাধ্যায়","TK. 150","TK. 132"
"কালকেতু উপাখ্যান পদ্য ও গদ্য","এইচ. এম. মেহেদী হাসান ","TK. 175","TK. 154"
"যুদ্ধদিনের স্মৃতিকথা","খন্দকার জাহাঙ্গীর হোসেন","TK. 200","TK. 176"
"দইজ্জাত উইট্টে তুয়ান","নিতাই চন্দ্র রায়","TK. 100","TK. 90"
"বাইলাম তরী জনম ভরি","নিতাই চন্দ্র রায়","TK. 100","TK. 90"
"ঢাক ডুমা ডুম বাজে ঢোল","নিতাই চন্দ্র রায়","TK. 100","TK. 90"
"ভলিবল খেলার আইন","মোঃ আনিসুর রহমান","TK. 150","TK. 132"
"কালের চোখে আমার দেশ","কাজী মোহাম্মদ শীশ","TK. 120","TK. 106"
"বলি ও অন্যান্য তীরের সমীকরণ","সাজাহান সাকিদার","TK. 140","TK. 123"
"উত্তরপর্ব একটি সাক্ষাৎকার গ্রন্থ","তারেক মাহমুদ","TK. 150","TK. 132"
"আকাঙ্ক্ষার শহর","মাসকাওয়াথ আহসান","TK. 75","TK. 68"
"সতত হে নদ","মাসকাওয়াথ আহসান","TK. 65","TK. 59"
"একুশের যাত্রী","তারেক মাহমুদ","TK. 200","TK. 176"
"নারীর কথা ও স্ত্রীরোগ বিশেষজ্ঞের ডায়রী","অধ্যাপক ডা. সামিনা চৌধুরী","TK. 200","TK. 176"
"গল্প থেকে নাটক","নাহিদ আহমেদ পিয়াল","TK. 140","TK. 123"
"পরের চশমা নিজের আঁখি","দন্ত্যস রওশন","TK. 60","TK. 54"
"গুদাম ভরা হাসি","ইকবাল খন্দকার","TK. 190","TK. 167"
"জলপাই হাওয়া","ফেরদৌস সাজেদীন","TK. 250","TK. 213"
"যা দেখেছি, যা পেয়েছি তুলনা তার নাই","নুরুল হক","TK. 450","TK. 383"
"বধূ মাতা কন্যার স্বাস্থ্য তথ্য","অধ্যাপক ডা. সামিনা চৌধুরী","TK. 150","TK. 132"
"ওপারে ভাসালে ভেলা","মাসকাওয়াথ আহসান","TK. 65","TK. 59"
"মনশ্রী চাঁদবতী","মোঃ রাজু শিকদার (অগ্নিকবি)","TK. 55","TK. 50"
"বিষণ্নতার শহর","মাসকাওয়াথ আহসান","TK. 75","TK. 68"
"কথা উপকথা","ইঞ্জিনিয়ার নজরুল ইসলাম","TK. 300","TK. 255"
"মিয়ানমার : পিতা ও কন্যার কথা","কাজী মোহাম্মদ শীশ","TK. 120","TK. 106"
"প্রসঙ্গ চলমান","কাজী মোহাম্মদ শীশ","TK. 150","TK. 132"
"আরও দূর জন্ম জন্মান্তর","প্রশান্ত মৃধা","TK. 75","TK. 68"
"ফরাসি কবিতার একাল: কথারা কোনোই প্রতিশ্রুতি বহন করে না","প্রশান্ত মৃধা","TK. 75","TK. 68"
"মা আমার মা","সৈয়দা খালেদা বেগম","TK. 180","TK. 158"
"পাখিচোখ পাখিপ্রান","মাহবুবুর রহমান বাদশাহ","TK. 100","TK. 90"
"বাগধারার গল্প","এ কে এম আশরাফুল হক","TK. 160","TK. 141"
"ওবায়েদ আকাশের কবিতা আদি পর্ব","ওবায়েদ আকাশ","TK. 200","TK. 176"
"আমার জীবন কথা","মীর্জা আজিজা ইদ্‌রিস","TK. 120","TK. 106"
"সৃষ্টি রহস্য ও মহাপ্লাবন","এ কে এম আশরাফুল হক","TK. 150","TK. 132"
"অহংকার কিংবা অহংকারের মতো কিছু","আহমেদ খালেদ","TK. 125","TK. 110"
"ঈশ্বর এবং আমি","সৈয়দ মহিদুল ইসলাম","TK. 50","TK. 45"
"ভাসমান ভাবনা ও কাফকার চিত্রনাট্য","কাজী সালমান শীশ","TK. 140","TK. 123"
"Economics and Policy in The Public Arena (Essays on International Economics, Environmental Policy, and Economic Development)","মো. আব্দুল্লাহ শিবলি","TK. 300","TK. 255"
"Nightfall (Stories of Hope, Love and pain)","মো. আব্দুল্লাহ শিবলি","TK. 250","TK. 213"
"The Magic of Love","মো. আব্দুল্লাহ শিবলি","TK. 300","TK. 255"
"বসন্ত ছোঁয়া","ড. মোঃ জাকারিয়া","TK. 200","TK. 176"
"বয়ফ্রেন্ড (গল্প সংকলন)","অজিত কুমার রায়","TK. 180","TK. 158"
"মঞ্জরী (কবিতা সংকলন)","আনোয়ার কামাল","TK. 250","TK. 213"
"পাহাড় যখন ডাকে","ধ্রুবজ্যোতি ঘোষ মুকুল","TK. 120","TK. 106"
"শ্রাবণ হতে হতে সাগর","অজিত কুমার রায়","TK. 120","TK. 106"
"জয়তু একাত্তর","অরুণ মৈত্র","TK. 150","TK. 132"
"আগে পড়োনি","রিফাত চৌধুরী","TK. 160","TK. 141"
"নীলিমা খাতুন","আবু তাহের সরফরাজ","TK. 225","TK. 191"
"বৃষ্টির জন্মভূমি","ধ্রুব এষ","TK. 200","TK. 176"
"যে আদল অন্য কারো","জাহান জলেশ্বরী","TK. 225","TK. 191"
"মন্থকূপ","নাহার মনিকা","TK. 380","TK. 323"
"রিমান্ড তেলাপোকা ও আকাশপরী","ইকবাল হাসান","TK. 280","TK. 238"
"অরণ্য-বহ্নি","তারাশঙ্কর বন্দ্যোপাধ্যায়","TK. 225","TK. 158"
"আজিজুল একটি গোপন নামতা","ফারুক আহমেদ-১","TK. 200","TK. 176"
"নির্জন কেবিন","তানিম জাবের","TK. 150","TK. 132"
"মহান স্বাধীনতা","মোঃ আবুল কালাম আজাদ","TK. 200","TK. 140"
"পঞ্চগ্রাম","তারাশঙ্কর বন্দ্যোপাধ্যায়","TK. 350","TK. 245"
